,token,lemma,pos,tag,dep,is_sentence_start,is_sentence_end
212,αὐτῷ.,αὐτῷ.,PRON,Pp,iobj,True,False
213,Μετὰ,μετά,ADP,R-,case,True,False
214,δὲ,δέ,ADV,Df,discourse,False,False
215,τὸ,ὁ,DET,S-,det,False,False
216,παραδοθῆναι,παραδίδωμι,VERB,V-,obl,False,False
217,τὸν,ὁ,DET,S-,det,False,False
218,Ἰωάννην,ἰωάν(ν)ης,PROPN,Ne,nsubj:pass,False,False
219,ἦλθεν,ἔρχομαι,VERB,V-,ROOT,False,False
220,ὁ,ὁ,DET,S-,det,False,False
221,Ἰησοῦς,ἰησοῦς,PROPN,Ne,nsubj,False,False
222,εἰς,εἰς,ADP,R-,case,False,False
223,τὴν,ὁ,DET,S-,det,False,False
224,Γαλιλαίαν,γαλιλαία,PROPN,Ne,obl,False,False
225,κηρύσσων,κηρύσσω,VERB,V-,ROOT,True,True
226,τὸ,ὁ,DET,S-,ROOT,True,True
227,εὐαγγέλιον,εὐαγγέλιον,NOUN,Nb,ROOT,True,True
228,τοῦ,ὁ,DET,S-,ROOT,True,True
229,θεοῦ,θεός,NOUN,Nb,ROOT,True,True
230,καὶ,καί,CCONJ,C-,cc,False,False
231,λέγων,λέγω,VERB,V-,conj,False,False
232,ὅτι,ὅτι,SCONJ,G-,mark,False,False
233,πεπλήρωται,πληρόω,VERB,V-,ccomp,False,False
234,ὁ,ὁ,DET,S-,det,False,False
235,καιρὸς,καιρός,NOUN,Nb,nsubj:pass,False,False
236,καὶ,καί,CCONJ,C-,cc,False,False
237,ἤγγικεν,ἐγγίζω,VERB,V-,conj,False,False
238,ἡ,ὁ,DET,S-,det,False,False
239,βασιλεία,βασιλεία,NOUN,Nb,nsubj,False,False
240,τοῦ,ὁ,DET,S-,det,False,False
241,θεοῦ,θεός,NOUN,Nb,nmod,False,True
242,μετανοεῖτε,μετανοέω,VERB,V-,ROOT,False,False
243,καὶ,καί,CCONJ,C-,cc,False,False
244,πιστεύετε,πιστεύω,VERB,V-,conj,False,False
245,ἐν,ἐν,ADP,R-,case,False,False
246,τῷ,ὁ,DET,S-,det,False,False
247,εὐαγγελίῳ.,εὐαγγελίῳ.,NOUN,Nb,obl,False,True
248,Καὶ,καί,CCONJ,C-,cc,True,False
249,παράγων,παράγω,VERB,V-,advcl,False,False
250,παρὰ,παρά,ADP,R-,case,False,False
251,τὴν,ὁ,DET,S-,det,False,False
252,θάλασσαν,θάλασσα,NOUN,Nb,obl,False,False
253,τῆς,ὁ,DET,S-,det,False,False
254,Γαλιλαίας,γαλιλαία,PROPN,Ne,nmod,False,False
255,εἶδεν,ὁράω,VERB,V-,ROOT,False,False
256,Σίμωνα,σίμων,PROPN,Ne,obj,False,False
257,καὶ,καί,CCONJ,C-,cc,False,False
258,Ἀνδρέαν,ἀνδρέας,PROPN,Ne,conj,False,False
259,τὸν,ὁ,DET,S-,det,False,False
260,ἀδελφὸν,ἀδελφός,NOUN,Nb,appos,False,False
261,Σίμωνος,σίμων,PROPN,Ne,nmod,False,False
262,ἀμφιβάλλοντας,βάλλω,VERB,V-,xcomp,False,False
263,ἐν,ἐν,ADP,R-,case,False,False
264,τῇ,ὁ,DET,S-,det,False,False
265,θαλάσσῃ,θάλασσα,NOUN,Nb,obl,False,True
266,ἦσαν,εἰμί,AUX,V-,cop,False,False
267,γὰρ,γάρ,ADV,Df,discourse,False,False
268,ἁλιεῖς,ἁλιεῖς,NOUN,Nb,appos,False,True
269,καὶ,καί,CCONJ,C-,cc,True,False
270,εἶπεν,λέγω,VERB,V-,ROOT,False,False
271,αὐτοῖς,αὐτός,PRON,Pp,iobj,False,False
272,ὁ,ὁ,DET,S-,det,False,False
273,Ἰησοῦς,ἰησοῦς,PROPN,Ne,nsubj,False,True
274,δεῦτε,δεῦτε,INTJ,I-,vocative,True,False
275,ὀπίσω,ὀπίσω,ADP,R-,case,False,False
276,μου,ἐγώ,PRON,Pp,obl,False,False
277,καὶ,καί,CCONJ,C-,cc,False,False
278,ποιήσω,ποιέω,VERB,V-,conj,False,False
279,ὑμᾶς,ὑμεῖς,PRON,Pp,nsubj,False,False
280,γενέσθαι,γίγνομαι,VERB,V-,ccomp,False,False
281,ἁλιεῖς,ἁλιεῖς,NOUN,Nb,xcomp,False,False
282,ἀνθρώπων,ἄνθρωπος,NOUN,Nb,nmod,False,True
283,καὶ,καί,CCONJ,C-,cc,True,False
284,εὐθὺς,εὐθύς,ADV,Df,advmod,False,False
285,ἀφέντες,ἀφίημι,VERB,V-,advcl,False,False
286,τὰ,ὁ,DET,S-,det,False,False
287,δίκτυα,δίκτυον,NOUN,Nb,obj,False,False
288,ἠκολούθησαν,ἀκολουθέω,VERB,V-,ROOT,False,False
289,αὐτῷ.,αὐτῷ.,PRON,Pp,iobj,False,True
290,Καὶ,καί,CCONJ,C-,cc,True,False
291,προβὰς,προβαίνω,VERB,V-,advcl,False,False
292,ὀλίγον,ὀλίγος,ADJ,A-,advmod,False,False
293,εἶδεν,ὁράω,VERB,V-,ROOT,False,False
294,Ἰάκωβον,ἰάκωβος,PROPN,Ne,obj,False,False
295,τὸν,ὁ,DET,S-,det,False,False
